date,exit,symbol,rank,composite,ret
2026-05-20,2026-05-27,JINDALPACK,1,1.1134054714964534,0.028545098351299814
2026-05-20,2026-05-27,HINDFIN,2,0.9606756182418817,-0.0007532345678837871
2026-05-20,2026-05-27,NAVINPACK,3,0.9361983225461472,0.08218866028283034
2026-05-20,2026-05-27,DEEPAKAGRO,4,0.9184326388749543,0.0689586637497841
2026-05-20,2026-05-27,HINDENERGY5,5,0.8410773824612805,-0.058582546197967544
2026-05-20,2026-05-27,RATNAPACK,6,0.7941221441586159,0.01621866749760481
2026-05-20,2026-05-27,BALAJIAGRO5,7,0.769053117767442,-0.006415800051847609
2026-05-20,2026-05-27,VARUNMOTORS,8,0.7619165135296857,-0.0240731973183419
2026-05-20,2026-05-27,VISHALCEMENT6,9,0.7534972159491035,0.020855009307456207
2026-05-20,2026-05-27,VISHALFIN7,10,0.7262127334248651,0.03158276188074938
2026-05-27,2026-06-03,JINDALPACK,1,1.1841714816480744,0.0510285244213764
2026-05-27,2026-06-03,DEEPAKAGRO,2,1.0378347441489508,0.11438411086886413
2026-05-27,2026-06-03,RATNAPACK,3,1.027641386828432,-0.005960128201176418
2026-05-27,2026-06-03,NAVINPACK,4,1.0139404861898176,0.11870543178132009
2026-05-27,2026-06-03,HINDFIN,5,0.9659951462863291,0.06675416775699317
2026-05-27,2026-06-03,VISHALCEMENT6,6,0.9613446753680113,0.037884638410065286
2026-05-27,2026-06-03,VISHALFIN7,7,0.9231990646334107,0.029636214915192527
2026-05-27,2026-06-03,APOLLOCHEM,8,0.844874826551615,0.08316675244928651
2026-05-27,2026-06-03,VISHALMOTORS,9,0.7595060720006442,0.06529659979405888
2026-05-27,2026-06-03,JINDALPOWER,10,0.7473135799327505,0.025464817145859575
2026-06-03,2026-06-10,JINDALPACK,1,1.207066519613895,0.05997615610405349
2026-06-03,2026-06-10,APOLLOCHEM,2,1.0783028882283612,0.04251371862614306
2026-06-03,2026-06-10,DEEPAKAGRO,3,1.0015218968213144,0.0021220239372510274
2026-06-03,2026-06-10,NAVINPACK,4,0.9732186211706408,0.10826243917878386
2026-06-03,2026-06-10,VISHALCEMENT6,5,0.8805344279725272,0.027459265381805098
2026-06-03,2026-06-10,HINDFIN,6,0.8534741452192263,0.07049201123413029
2026-06-03,2026-06-10,BALAJIAGRO5,7,0.8467324482327102,0.06470663760507844
2026-06-03,2026-06-10,VISHALMOTORS,8,0.8224537590849194,-0.03581639943735415
2026-06-03,2026-06-10,KIRLOSKARPHARMA2,9,0.8030969844759376,-0.046038758077603936
2026-06-03,2026-06-10,VISHALFIN7,10,0.7963516256834422,-0.013583897451021176
2026-06-10,2026-06-17,APOLLOCHEM,1,1.0894682140665253,-0.01877164674124021
2026-06-10,2026-06-17,JINDALPACK,2,1.0605110565016425,-0.04459709988166605
2026-06-10,2026-06-17,NAVINPACK,3,1.0209376784143944,-0.015845318732194524
2026-06-10,2026-06-17,RATNAPACK,4,0.9621145303780247,-0.07194349519564003
2026-06-10,2026-06-17,HINDFIN,5,0.9571376047279794,-0.07074019134739251
2026-06-10,2026-06-17,DEEPAKAGRO,6,0.9363544217284939,-0.010371822397574837
2026-06-10,2026-06-17,HINDENERGY5,7,0.8595291224063344,-0.04849451363964252
2026-06-10,2026-06-17,VISHALCEMENT6,8,0.8410501811384319,0.01760952365444335
2026-06-10,2026-06-17,BALAJIAGRO5,9,0.822229512352425,-0.01061885034159582
2026-06-10,2026-06-17,JINDALPOWER,10,0.7711529687025586,-0.06461286809001754
2026-06-17,2026-06-24,APOLLOCHEM,1,1.1718233897015273,0.017090233477203398
2026-06-17,2026-06-24,JINDALPACK,2,1.0699875734825017,-0.008731369372313003
2026-06-17,2026-06-24,NAVINPACK,3,1.064676392380835,-0.1046280650647019
2026-06-17,2026-06-24,KIRLOSKARPHARMA2,4,0.9826793648974786,0.10984693337288443
2026-06-17,2026-06-24,VISHALCEMENT6,5,0.9745528105432859,0.024304211384814423
2026-06-17,2026-06-24,DEEPAKAGRO,6,0.9720892095668522,-0.05590345284915954
2026-06-17,2026-06-24,BALAJIAGRO5,7,0.9669443729587052,0.00042638644800585546
2026-06-17,2026-06-24,APOLLOPHARMA,8,0.8646996746994637,-0.05126111715589965
2026-06-17,2026-06-24,VISHALFIN7,9,0.8283843352739938,-0.03743655586582073
2026-06-17,2026-06-24,VARUNTECH,10,0.811411117252402,-0.03693218820858224
2026-06-24,2026-07-01,VISHALCEMENT6,1,1.161515436474585,-0.08365310563927209
2026-06-24,2026-07-01,BALAJIAGRO5,2,1.0679747848854966,-0.05238453785192643
2026-06-24,2026-07-01,JINDALPACK,3,1.047692830101877,-0.03182657290662694
2026-06-24,2026-07-01,KIRLOSKARPHARMA2,4,0.9376397484596897,0.012006442937679385
2026-06-24,2026-07-01,APOLLOCHEM,5,0.9134271703088434,0.005890090505236811
2026-06-24,2026-07-01,JINDALPACK8,6,0.9059231761168127,-0.04880036379801367
2026-06-24,2026-07-01,SANGHVIMOTORS,7,0.8942504047526826,-0.03673431943221728
2026-06-24,2026-07-01,RATNAPACK,8,0.8496658805533033,-0.02122019154233057
2026-06-24,2026-07-01,JINDALCHEM2,9,0.8347848027233791,0.05523842791268274
2026-06-24,2026-07-01,NAVINPACK,10,0.793095967223117,0.009852064028734064
2026-07-01,2026-07-08,JINDALCHEM2,1,0.9914736404349298,-0.07561483293605542
2026-07-01,2026-07-08,KIRLOSKARPHARMA2,2,0.9905224284246078,-0.06872550878168215
2026-07-01,2026-07-08,APOLLOCHEM,3,0.9899068739351989,-0.008020541044914897
2026-07-01,2026-07-08,MAHACHEM,4,0.9787713794728504,-0.05401755612897796
2026-07-01,2026-07-08,BALAJIAGRO5,5,0.9265612991796596,0.053364620281791675
2026-07-01,2026-07-08,JINDALPACK8,6,0.7987458706191025,0.04885626346087091
2026-07-01,2026-07-08,JINDALPACK,7,0.7831287465863721,0.03560046826480856
2026-07-01,2026-07-08,ADANIPACK6,8,0.7423745493612115,-0.11994771622372224
2026-07-01,2026-07-08,APOLLOFIN4,9,0.7356408555848831,-0.03355590865224978
2026-07-01,2026-07-08,ADANIPOWER3,10,0.7317604121909667,-0.0039798500731494935
2026-07-08,2026-07-15,JINDALPACK,1,1.0913919376223757,-0.011800233196429755
2026-07-08,2026-07-15,BALAJIAGRO5,2,1.0723459404632545,0.009086277812887289
2026-07-08,2026-07-15,SANGHVIMOTORS,3,1.0528468630159395,-0.09289108227838805
2026-07-08,2026-07-15,VARUNMOTORS,4,0.9097419693894313,0.004206406281283881
2026-07-08,2026-07-15,JINDALPACK8,5,0.8685008080971164,-0.03582615505758613
2026-07-08,2026-07-15,ADANIPOWER3,6,0.8609144920868363,-0.018680800096293693
2026-07-08,2026-07-15,MAHACHEM,7,0.8582178791063491,0.07033434849254605
2026-07-08,2026-07-15,APOLLOCHEM,8,0.8482104035886164,-0.05883242663790034
2026-07-08,2026-07-15,HINDFIN,9,0.8364080192722838,-0.1054789381845026
2026-07-08,2026-07-15,HINDCEMENT7,10,0.8294001053023325,0.015899348198348262
2026-07-15,2026-07-22,BALAJIAGRO5,1,1.2277619217854228,0.004508945155834887
2026-07-15,2026-07-22,JINDALPACK,2,1.066092769343415,0.00778933460839637
2026-07-15,2026-07-22,APOLLOPHARMA,3,1.0438957632624808,-0.059914338125310884
2026-07-15,2026-07-22,APOLLOFIN4,4,1.029145052164889,-0.005872323323710793
2026-07-15,2026-07-22,TORRENTPHARMA,5,0.9914766876525296,0.12045295228097075
2026-07-15,2026-07-22,MAHACHEM,6,0.9687107475517004,-0.031806275678701534
2026-07-15,2026-07-22,VARUNMOTORS,7,0.9485714693159404,-0.03973205467880814
2026-07-15,2026-07-22,HINDCEMENT7,8,0.9104940251528296,0.010961228994978756
2026-07-15,2026-07-22,DEEPAKAGRO,9,0.8627696791329413,-0.031473358104091465
2026-07-15,2026-07-22,JINDALCHEM2,10,0.7887933666495852,0.006961834146287593
2026-07-22,2026-07-29,BALAJIAGRO5,1,1.2630851219450978,-0.01392091322912814
2026-07-22,2026-07-29,JINDALPACK,2,1.1877391145962028,0.013765136958556745
2026-07-22,2026-07-29,TORRENTPHARMA,3,1.0494208194623154,-0.046592231909562964
2026-07-22,2026-07-29,MAHACHEM,4,1.0345753393512627,0.05689470610893088
2026-07-22,2026-07-29,APOLLOFIN4,5,1.0263429685993513,0.04285871380880879
2026-07-22,2026-07-29,ADANIPOWER3,6,0.9752943937130997,-0.005642147867539582
2026-07-22,2026-07-29,HINDCEMENT7,7,0.9193217267361655,0.04501389058880623
2026-07-22,2026-07-29,SANGHVITECH,8,0.8925577138871462,0.06004077741865377
2026-07-22,2026-07-29,JINDALCHEM2,9,0.8717595026067954,0.010702207203150627
2026-07-22,2026-07-29,SHREEPHARMA,10,0.8480873959894146,0.00014742577548987335
2026-07-29,2026-08-05,BALAJIAGRO5,1,1.040778282021836,-0.062104091008486906
2026-07-29,2026-08-05,JINDALPACK,2,1.037264230037355,0.0019862593098474157
2026-07-29,2026-08-05,SANGHVITECH,3,0.9754221953088489,-0.006284041818998665
2026-07-29,2026-08-05,SANGHVIMOTORS,4,0.9347844206497917,-0.023837618232870894
2026-07-29,2026-08-05,VISHALMOTORS,5,0.9335219617620609,-0.16937294721880192
2026-07-29,2026-08-05,MAHACHEM,6,0.9249993586329386,0.09946363095438038
2026-07-29,2026-08-05,APOLLOFIN4,7,0.8985844122286163,-0.04036518877665807
2026-07-29,2026-08-05,HINDCEMENT7,8,0.896097262624051,0.009328749544063264
2026-07-29,2026-08-05,HINDFIN,9,0.8922921049005794,-0.13450621489705228
2026-07-29,2026-08-05,JINDALCHEM2,10,0.7740227114142572,-0.005402943856757769
2026-08-05,2026-08-12,MAHACHEM,1,1.0428705125085709,0.07955865816358987
2026-08-05,2026-08-12,VISHALCEMENT6,2,1.028856212995676,-0.045479146539961435
2026-08-05,2026-08-12,JINDALPACK,3,0.9831537373738829,0.021425646357198458
2026-08-05,2026-08-12,ADANIPOWER3,4,0.950866082695679,-0.014141349710474427
2026-08-05,2026-08-12,VARUNMOTORS,5,0.9300193642211044,0.01559380715386105
2026-08-05,2026-08-12,SANGHVITECH,6,0.9251803990468404,0.09305064793950013
